מחוז,רשות מקומית ,שם האתר,כתובת,שנת תחילת טיפול,שנת       סיום      טיפול ,זיהום   גז קרקע  ,זיהום קרקע,דרגת זיהום לפני שיקום,סוג סקר,מקור הזיהום ,סוג מזהם מתכות ,סוג מזהם דלקים,סוג מזהם ממסים (לרבות מוכלרים),סוג מזהם שמנים,סוג מזהם חומרי נפץ,סוג מזהם חומרי הדברה,מיגון מבנים         
"ת""א",הרצלייה,"אס""פ הרצליה הילס - הר 1903",צפון מזרחית לצומת הסירה הרצליה,2005,2014,יש זיהום ,יש זיהום,בינוני,שיקום ,אתרי אשפה,כן,כן,כן,כן,לא,לא,מיגון לאחר בדיקה
"ת""א",הרצלייה,"הר 1934 -אס""פ בור הבוצה הגדול",דרומית מזרחית לצומת הסירה,1999,2009,לא נבדק ויש פוטנציאל ,יש זיהום,בינוני,שיקום ,אחר,כן,כן,לא,כן,לא,כן,טרם נבדק
"ת""א",בני-ברק,בית לחיים,כהנמן 72,2011,2014,נבדק ואין זיהום,לא נבדק ויש פוטנציאל,אין זיהום ,סקר גז קרקע,אחר,לא,לא,לא,לא,לא,לא,מיגון על פי חובה בתשריט
"ת""א",תל-אביב,ת.ד. פז סלמה,דרך סלמה 27,2005,2014,יש זיהום ,היה זיהום בעבר ששוקם,בינוני,סקר קרקע,תחנות דלק,לא,לא,כן,לא,לא,לא,טרם נבדק
"ת""א",תל-אביב,ת.ד. פז רימון,הלל הזקן 14,2009,2011,יש זיהום ,יש זיהום,קל,סקר קרקע,תחנות דלק,לא,כן,לא,לא,לא,לא,טרם נבדק
"ת""א",תל-אביב,ת.ד. פז רשף,סעדיה הגאון 24,2010,2013,יש זיהום ,יש זיהום,קל,סקר קרקע,תחנות דלק,לא,כן,לא,לא,לא,לא,טרם נבדק
"ת""א",אור יהודה,מוסך אור יהודה,המפעל 11,2007,2008,נבדק ואין זיהום,לא נבדק ויש פוטנציאל,אין זיהום ,סקר קרקע,מוסך,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",בני-ברק,בב 804 אוסם,אהרונוביץ' 22,2006,2010,לא נבדק ויש פוטנציאל,יש זיהום,כבד,סקר קרקע,,לא,כן,לא,לא,לא,לא,טרם נבדק
"ת""א",אור יהודה,מוסך עופרה ,העמל 14,2009,2011,נבדק ואין זיהום,לא נבדק ויש פוטנציאל,אין זיהום ,שיקום ,מוסך,לא,לא,לא,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,ת.ד.  כיכר אתרים,הירקון 165,2007,2009,היה זיהום בעבר ששוקם,היה זיהום בעבר ששוקם,קל,שיקום ,תחנות דלק,לא,כן,כן,לא,לא,לא,טרם נבדק
"ת""א",תל-אביב,ת.ד. דלק פרבר,שדרות ירושליים 210,2011,2014,היה זיהום בעבר ששוקם,יש זיהום,כבד,שיקום ,תחנות דלק,לא,כן,כן,לא,לא,לא,טרם נבדק
"ת""א",תל-אביב,ת.ד. סונול גבעת הרצל,הרצל 138,2009,2014,היה זיהום בעבר ששוקם,היה זיהום בעבר ששוקם,בינוני,שיקום ,תחנות דלק,לא,כן,כן,לא,לא,לא,טרם נבדק
"ת""א",תל-אביב,ת.ד. סונול הכיכר לוריא,לוריא 8,2011,2015,היה זיהום בעבר ששוקם,היה זיהום בעבר ששוקם,כבד,שיקום ,תחנות דלק,לא,כן,כן,לא,לא,לא,טרם נבדק
"ת""א",חולון,הנגר 6,הנגר 6,2007,2011,נבדק ואין זיהום,יש זיהום,קל,סקר קרקע,תעשיה,לא,כן,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",חולון,הרוקמים 40,הרוקמים 40,2012,2013,יש זיהום ,יש זיהום,כבד,שיקום ,תעשיה,כן,כן,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",חולון,"זוקו שיווק והפצה בע""מ",המרכבה 12,2006,2008,יש זיהום ,לא נבדק ויש פוטנציאל,כבד,סקר גז קרקע,תעשיה,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",חולון,יהודה יבוא יצוא ,פרופסור שור 59,2010,2013,יש זיהום ,יש זיהום,כבד,שיקום ,תעשיה,כן,כן,כן,לא,לא,לא,טרם נבדק
"ת""א",חולון ,כרמור,המשביר 26 פינת החופר 11 ,2012,2013,נבדק ואין זיהום,היה זיהום בעבר ששוקם,בינוני ,שיקום ,תעשיה,כן,כן,,,,,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,חניון גבעון גינדי,"בין רחוב הארבעה לחשמונאים, צמוד לארניה ",2011,2014,יש זיהום ,לא נבדק ואין זיהום,כבד,סקר סיכונים,אחר,לא,לא,כן,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,חזקיהו המלך 25,חזקיהו המלך 25,2010,2011,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום,סקר גז קרקע,אחר,לא,לא,לא,לא,לא,לא,מיגון על פי חובה בתשריט
"ת""א",תל-אביב,חילזון שלמה 38 שלבים 27,שלמה 38 שלבים 27,2011,2014,לא נבדק ויש פוטנציאל ,לא נבדק ויש פוטנציאל,אין זיהום ,סקר היסטורי,תעשיה,לא,לא,לא,לא,לא,לא,מיגון על פי חובה בתשריט
"ת""א",תל-אביב,סיני מתכות שניצלר 25-27 תל אביב,שניצלר 27 25,2013,2014,נבדק ואין זיהום,יש זיהום,בינוני,סקר קרקע,תעשיה,כן,כן,לא,כן,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,בית ספר מנשר לאומנות,הגליל 6,2011,2011,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום,סקר גז קרקע,אחר,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,בעל העקידה 27א'- 33,בעל העקידה 27א'- 33,2011,2013,יש זיהום ,לא נבדק ואין זיהום,קל,סקר גז קרקע,אחר,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",חולון,כנם מרכזים רפואיים רחוב רפאל איתן,רפאל איתן  6,2013,2013,יש זיהום ,לא נבדק ויש פוטנציאל,בינוני ,סקר גז קרקע,אחר,,,כן,,,,מיגון לאחר בדיקה
"ת""א",חולון,כרומת,הנגר 5-8,2006,2007,יש זיהום ,נבדק ואין זיהום,כבד,סקר קרקע,תעשיה,,,,,,,מיגון לאחר בדיקה
"ת""א",חולון,לנגסם,הפלד 10,2008,2008,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר קרקע,תעשיה,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",חולון,מ.מסחרי ח\300,המרגנית 2 ,2011,2013,יש זיהום ,לא נבדק ויש פוטנציאל,קל,,,,,,,,,נבדק וניתן פטור ממיגון
"ת""א",חולון,מוסיק ,הנפח 6,2009,2012,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,,מוסך,,,,,,,נבדק וניתן פטור ממיגון
